Codigo_orgao_solicitante,Valor_Total
-1,10938395.26
20000,2213453.27
20202,69657.78
20203,66003.76
20301,134805.26
20402,179919.72
20403,6350.92
20404,4185.87
20408,7014.75
20411,92416.98
20412,70062.02
20501,50135.14
20603,77456.03
20701,1681778.8
22000,2162795.6
22201,132024.65
22204,212970.78
22211,192144.53
24000,1050922.43
24208,11885.76
24209,81139.98
25201,545392.87
25203,104445.28
25205,2033912.3
25206,84020.62
25208,20042.84
26000,733742.81
26201,9523.24
26230,47860.2
26232,13070.76
26233,87908.0
26234,101293.51
26235,18589.87
26236,56773.11
26237,85813.84
26238,188363.27
26239,485947.69
26240,40640.92
26241,168413.2
26242,108180.09
26243,263598.31
26244,58564.68
26245,40072.76
26246,102582.42
26247,33493.98
26248,109469.04
26249,10551.75
26250,47495.94
26251,18989.07
26252,49498.49
26253,56549.15
26254,28639.59
26255,34364.74
26256,31156.23
26257,47225.7
26258,390850.04
26260,42126.25
26261,31267.89
26262,40216.31
26263,46197.77
26264,11856.52
26267,54725.88
26268,21891.29
26269,26245.34
26270,106508.29
26271,146559.3
26272,13522.35
26273,72707.49
26274,189904.98
26275,33581.53
26276,44992.56
26277,20652.59
26278,26254.6
26279,97347.14
26280,3315.67
26281,84810.21
26282,25752.85
26283,32296.13
26284,36201.41
26285,17047.06
26286,33971.16
26290,2276668.96
26291,526211.45
26292,27139.25
26298,47017.3
26350,13082.23
26351,9040.13
26352,13330.25
26402,79860.45
26403,56124.15
26404,43456.0
26405,98485.26
26406,59291.74
26407,77632.15
26408,54520.84
26409,54091.92
26410,25831.45
26411,18077.08
26412,11797.63
26413,12952.04
26414,214949.57
26415,61929.92
26416,83001.99
26417,70266.22
26418,60623.46
26419,39431.52
26420,38192.01
26421,29465.07
26422,84081.04
26423,26614.41
26424,24859.91
26425,59309.24
26426,22997.53
26427,32593.33
26428,3932.16
26429,24404.83
26430,64485.9
26431,13691.13
26432,54063.52
26433,12440.74
26434,9888.34
26436,38345.74
26437,14487.0
26438,158026.17
26439,99375.45
26440,30706.29
26441,42093.45
26442,15762.64
26443,297944.36
26447,29585.06
26448,57112.93
26449,63291.76
26450,36592.97
29209,99374.92
30108,5320772.86
30202,545252.33
30203,134071.25
30204,25156.0
30211,166775.61
30802,5424144.33
32000,368057.7
32205,531301.15
32210,301923.94
32314,96115.01
33206,19159.88
35000,3184646.79
35201,20106.9
36000,2004193.7
36201,367545.07
36211,693700.12
36212,1290433.24
36213,208827.49
37000,555056.68
37201,16170.94
37202,1507072.37
39000,1731988.17
39250,687393.14
39251,147319.61
39252,805755.1
39253,107712.21
41231,920819.63
42207,72019.77
44000,108570.02
44205,299648.92
44206,6334.06
44207,639181.03
44208,51339.33
52000,1224753.63
52111,3171889.31
52121,3781699.3
52211,11652.81
53202,15339.24
53203,16845.19
53207,3414.9
60000,343071.51
63000,469159.57
64000,887317.25
